Year,Rank,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,First,Pts Won,Pts Max
2007,12T,Dwyane Wade,25,MIA,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,0,3,1290
2007,14,Amar'e Stoudemire,24,PHO,82,32.8,20.4,9.6,1,1,1.3,0.575,0,0.781,0,2,1290
2007,15T,Carmelo Anthony,22,DEN,65,38.2,28.9,6,3.8,1.2,0.4,0.476,0.268,0.808,0,1,1290
2007,15T,Baron Davis,27,GSW,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,0,1,1290
2007,15T,Tony Parker,24,SAS,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,0,1,1290
2006,1,Steve Nash,31,PHO,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,57,924,1250
2006,2,LeBron James,21,CLE,79,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16,688,1250
2006,3,Dirk Nowitzki,27,DAL,81,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,14,544,1250
2006,4,Kobe Bryant,27,LAL,80,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,22,483,1250
2006,5,Chauncey Billups,29,DET,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15,430,1250
2006,6,Dwyane Wade,24,MIA,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,0,87,1250
2006,7,Elton Brand,26,LAC,79,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,1,50,1250
2006,8,Tim Duncan,29,SAS,80,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,0,33,1250
2006,9,Tony Parker,23,SAS,80,33.9,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,0,9,1250
2006,10T,Allen Iverson,30,PHI,72,43.1,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,0,1,1250
2006,10T,Shawn Marion,27,PHO,81,40.3,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,0,1,1250
